"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @auxxaaa: Once again happy birthday park chanyeol ❤

HAPPY CHANYEOL DAY

#OurMeissaChanyeolDay
#HappyChanyeolDay
#찬열아생일축하해 #항상찬열이편 
@wea…",FALSE,0,NA,2021-11-27 13:49:01,FALSE,NA,"1464592097688764419",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rissasadja",1,TRUE,FALSE,NA,NA
"RT @xunhuas: The way Chanyeol always makes sure to show his gratitude and appreciation for all his birthday projects and fan support projec…",FALSE,0,NA,2021-11-27 13:49:01,FALSE,NA,"1464592097177079813",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tuntuntunna",680,TRUE,FALSE,NA,NA
"RT @shnexo9: @X1X1NG HAPPY CHANYEOL DAY
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편",FALSE,0,NA,2021-11-27 13:49:01,FALSE,NA,"1464592096707371010",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","X1X1NG",1,TRUE,FALSE,NA,NA
"@adxiusoo happy birthday, mi luvvv

#HappyCHANYEOLDay #CHANYEOL #EXO #weareoneexo https://t.co/8fZWe5FIiS",FALSE,0,"adxiusoo",2021-11-27 13:49:01,FALSE,"1464469133177675776","1464592096430419975","1322399777896558593","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zzarcart",0,FALSE,FALSE,NA,NA
"@ParkChanyeolINA @weareoneEXO HAPPY CHANYEOL DAY

#OurMeissaChanyeolDay
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편… https://t.co/GcqpMweGW4",FALSE,0,"bundanyaloey",2021-11-27 13:49:00,TRUE,"1464592003203698691","1464592092772982788","1366722970031255555","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bundanyaloey",0,FALSE,FALSE,NA,NA
"@WorldStarLoey @27xCHANYEOL HAPPY BIRTHDAY PARK CHANYEOL ~~~~

#HappyChanyeolDay 
#OurMeissaChanyeolDay
#찬열아생일축하해… https://t.co/1l81a34Ns1",FALSE,0,"WorldStarLoey",2021-11-27 13:49:00,TRUE,"1464590670094503942","1464592092668170240","1169265968666669056","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","yujiloey",0,FALSE,FALSE,NA,NA
"RT @mochiitiger: PH 🇵🇭 ONLY

🍒 CHANYEOL BIRTHDAY GA 🍒

🤍5 winners ₱100 GCASH
🤍1 winner - i'll pay for your order in any shop (limited to ₱5…",FALSE,0,NA,2021-11-27 13:49:00,FALSE,NA,"1464592091414409216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yeolliebuys",183,TRUE,FALSE,NA,NA
"@hrjbbh @weareoneEXO HAPPY #CHANYEOL DAY 🥳❤️

#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편",FALSE,0,"hrjbbh",2021-11-27 13:48:59,FALSE,"1464565401581658115","1464592090914902024","1453238292602830850","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YannaPark_",0,FALSE,FALSE,NA,NA
"@27xCHANYEOL HAPPY CHANYEOL DAY!🎂🤍

#OurMeissaChanyeol 
#HappyChanyeolDay‌ 
#찬열아생일축하햐 
#항상천열이편",FALSE,0,"27xCHANYEOL",2021-11-27 13:48:59,FALSE,"1464590494470586377","1464592090306727946","1101886838279614464","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yeollieverse_27",0,FALSE,FALSE,NA,NA
"@l0eypcy_ @weareoneEXO HAPPY CHANYEOL DAY 

#CHANYEOL
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해 #HappyVirus  
#항상찬열이편 @weareoneEXO",FALSE,0,"sehunfangirlll",2021-11-27 13:48:59,FALSE,"1464592072623616005","1464592089975377928","1224948281236545536","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sehunfangirlll",0,FALSE,FALSE,NA,NA
